Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
336317,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,Plou?nan (29184),48.63069,-4.017931,OIE,Confirmed,Wild,Little Grebe:tachybaptus Ruficollis(Podicipedidae),04/11/2022,25/11/2022,,
335591,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Baricella,44.68781,11.571362,OIE,Confirmed,Wild,Northern Pintail (Anas Acuta),03/11/2022,17/11/2022,,
336213,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Smeermaas,50.91666,5.33333,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),03/11/2022,23/11/2022,,
335202,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Hamburg,Hamburg,53.628,9.92,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),02/11/2022,10/11/2022,,
335602,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Principado de Asturias,Villaviciosa,43.459136,-5.193266,OIE,Confirmed,Wild,Northern Gannet:morus Bassanus(Sulidae),02/11/2022,18/11/2022,,
334844,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Serbia,Juzno-backi,Novi Sad,45.261193,19.856875,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),01/11/2022,07/11/2022,,
335291,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Serbia,Juzno-banatski,Ivanovo,44.748226,20.694575,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),01/11/2022,14/11/2022,,
335593,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Castagnaro,45.08956,11.403185,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),30/10/2022,17/11/2022,,
335486,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,Wietmarschen,52.505,7.195,OIE,Confirmed,Wild,Anatidae (Incognita),29/10/2022,15/11/2022,,
334593,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Nordrhein-Westfalen,Reichshof,50.96,7.71,OIE,Confirmed,Wild,Passeridae (Unidentified):Passeridae (Incognita)(Passeridae),28/10/2022,04/11/2022,,
