species,freq,class
Teal,21,NA
Tern,5,NA
Thalasseus sandvicensis,40,Aves
Threskiornithidae (incognita),2,Aves
Threskiornithidae (Unidentified):Threskiornithidae (Incognita)(Threskiornithidae),2,Aves
Thrush (Turdidae),2,NA
Tringa erythropus,6,Aves
Tringa glareola,289,Aves
Tringa nebularia,30,Aves
Tringa ochropus,24,Aves
Tringa stagnatilis,7,Aves
Tringa totanus,122,Aves
Tufted Duck,81,Aves
Tundra Swan (Cygnus Columbianus),2,Aves
Turdus merula,3,Aves
Turdus philomelos,5,Aves
Tyto alba,27,Aves
Unspecified Bird,359,NA
Unspecified Mammal,2,NA
Uria aalge,175,Aves
Uria lomvia,1,Aves
Vanellus vanellus,26,Aves
Variable Hawk (Geranoaetus Polyosoma) ,1,NA
Vulpes vulpes,34,Mammalia
Vulture,2,NA
Wader,1,NA
Water Hen,1,NA
Western Grebe (Aechmophorus Occidentalis):Podicipedidae-Procellariiformes,1,Aves
White Stork:ciconia Ciconia(Ciconiidae),6,Aves
White Tailed Eagle (Haliaeetus Albicilla),103,Aves
Whooper Swan:cygnus Cygnus(Anatidae),171,NA
Wigeons:mareca Penelope(Anatidae),1,NA
Wild Duck,63,NA
Xenus cinereus,14,Aves
Yellow-Legged Gull ,19,Aves
