"","species","freq","class","order","family","genus"
"414","Tufted Duck","81","Aves","Anseriformes","Anatidae","Aythya"
"415","Tundra Swan","2","Aves","Anseriformes","Anatidae","Cygnus"
"416","Turdus merula","4","Aves","Passeriformes","Turdidae","Turdus"
"417","Turdus philomelos","3","Aves","Passeriformes","Turdidae","Turdus"
"418","Turdus pilaris","1","Aves","Passeriformes","Turdidae","Turdus"
"419","Tyto alba","11","Aves","Strigiformes","Tytonidae","Tyto"
"420","Unspecified Bird","363",NA,NA,NA,NA
"421","Uria aalge","100","Aves","Charadriiformes","Alcidae","Uria"
"422","Vanellus vanellus","2","Aves","Charadriiformes","Charadriidae","Vanellus"
"423","Variable Hawk","1","Aves","Accipitriformes","Accipitridae",""
"424","Vulture","2","Aves","Accipitriformes","Accipitridae",""
"425","Wader","1","Aves","Charadriiformes","",""
"426","Water Hen","1","Aves","Gruiformes","Rallidae","Gallinula"
"427","Western Grebe","1","Aves","Podicipediformes","Podicipedidae","Aechmophorus"
"428","White Stork","6","Aves","Ciconiiformes","Ciconiidae","Ciconia"
"429","White Tailed Eagle","108","Aves","Accipitriformes","Accipitridae","Haliaeetus"
"430","Whooper Swan","186","Aves","Anseriformes","Anatidae","Cygnus"
"431","Wigeons","2","Aves","Anseriformes","Anatidae","Mareca"
"432","Wild Duck","63","Aves","Anseriformes","Anatidae",""
"433","Yellow-Legged Gull","28","Aves","Charadriiformes","Laridae","Larus"
"434","Black Guillemot","7","Aves","Charadriiformes","Alcidea","Cepphus"
