"","species","freq","class","order","family","genus"
"212","Great Black-Backed Gull","38","Aves","Charadriiformes","Laridae","Larus"
"213","Great Black-Headed Gull","5","Aves","Charadriiformes","Laridae","Ichthyaetus"
"214","Great Blue Heron","4","Aves","Pelecaniformes","Ardeidae","Ardea"
"215","Great Cormorant","34","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax"
"216","Great Crested Grebe","13","Aves","Podicipediformes","Podicipedidae","Podiceps"
"217","Great Crested Grebe","6","Aves","Podicipediformes","Podicipedidae","Podiceps"
"218","Great Egret","13","Aves","Pelecaniformes","Ardeidae","Ardea"
"219","Great Skua","20","Aves","Charadriiformes","Stercorariidae","Stercorarius"
"220","Greater Flamingo","3","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus"
"221","Greater Rhea","3","Aves","Rheiformes","Rheidae","Rhea"
"222","Greater Scaup","2","Aves","Anseriformes","Anatidae","Aythya"
"223","Greater White-Fronted Goose","33","Aves","Anseriformes","Anatidae","Anser"
"224","Grebe","5","Aves","Podicipediformes","Podicipedidae",""
"225","Green Sandpiper","2","Aves","Charadriiformes","Scolopacidae","Tringa"
"226","Grey Crowned Crane","1","Aves","Gruiformes","Gruidae","Balearica"
"227","Grey Headed Gull","10","Aves","Charadriiformes","Laridae","Chroicocephalus"
"228","Grey Heron","58","Aves","Pelecaniformes","Ardeidae","Ardea"
"229","Greylag Goose","55","Aves","Anseriformes","Anatidae","Anser"
"230","Greylag Goose","238","Aves","Anseriformes","Anatidae","Anser"
"231","Griffon Vulture","5","Aves","Accipitriformes","Accipitridae","Gyps"
"232","Gruidae","13","Aves","Gruiformes","Gruidae",NA
"233","Gruidae","12","Aves","Gruiformes","Gruidae",NA
"234","Grus grus","76","Aves","Gruiformes","Gruidae","Grus"
"235","Gull","122","Aves","Charadriiformes","Laridae",NA
"236","Gull-Billed Tern","1","Aves","Charadriiformes","Laridae","Gelochelidon"
"237","Gypaetus barbatus","5","Aves","Accipitriformes","Accipitridae","Gypaetus"
"238","Gyps fulvus","13","Aves","Accipitriformes","Accipitridae","Gyps"
"239","Haematopodidae","6","Aves","Charadriiformes","Haematopodidae",NA
"240","Haematopodidae","2","Aves","Charadriiformes","Haematopodidae",NA
"241","Haematopus ostralegus","11","Aves","Charadriiformes","Haematopodidae","Haematopus"
"242","Haliaeetus albicilla","125","Aves","Accipitriformes","Accipitridae","Haliaeetus"
"243","Harris's Hawk","1","Aves","Accipitriformes","Accipitridae","Parabuteo"
"244","Hawk","6","Aves","Accipitriformes","Accipitridae",""
"245","Heron","25","Aves","Pelecaniformes","Ardeidae",""
"246","Herring Gull","295","Aves","Charadriiformes","Laridae","Larus"
"247","Hirundinidae","2","Aves","Passeriformes","Hirundinidae",NA
"248","Hooded Crow","9","Aves","Passeriformes","Corvidae","Corvus"
"249","House Sparrow","9","Aves","Passeriformes","Passeridae","Passer"
"250","Hydroprogne caspia","2","Aves","Charadriiformes","Laridae","Hydroprogne"
"251","Ichthyaetus melanocephalus","28","Aves","Charadriiformes","Laridae","Ichthyaetus"
"252","Ivory Gull","1","Aves","Charadriiformes","Laridae","Pagophila"
"253","Jackdaw","3","Aves","Passeriformes","Corvidae","Coloeus"
"254","Kite","6","Aves","Accipitriformes","Accipitridae",""
"255","Lagopus lagopus","1","Aves","Galliformes","Phasianidae","Lagopus"
"256","Laniidae","1","Aves","Passeriformes","Laniidae",NA
"257","Laridae","618","Aves","Charadriiformes","Laridae",NA
"258","Laridae","443","Aves","Charadriiformes","Laridae",NA
