"","common_name","common_code","sci_name","sci_code"
"212","Greater Yellowlegs","greyel","Tringa melanoleuca","greyel"
"213","Ruddy Turnstone","rudtur","Arenaria interpres","rudtur"
"214","Great Knot","grekno","Calidris tenuirostris","grekno"
"215","Red Knot","redkno","Calidris canutus","redkno"
"216","Ruff","ruff","Calidris pugnax","ruff"
"217","Broad-billed Sandpiper","brbsan","Calidris falcinellus","brbsan"
"218","Sharp-tailed Sandpiper","shtsan","Calidris acuminata","shtsan"
"219","Curlew Sandpiper","cursan","Calidris ferruginea","cursan"
"220","Stilt Sandpiper","stisan","Calidris himantopus","stisan"
"221","Temminck's Stint","temsti","Calidris temminckii","temsti"
"222","Long-toed Stint","lotsti","Calidris subminuta","lotsti"
"223","Red-necked Stint","rensti","Calidris ruficollis","rensti"
"224","Buff-breasted Sandpiper","bubsan","Calidris subruficollis","bubsan"
"225","Sanderling","sander","Calidris alba","sander"
"226","Dunlin","dunlin","Calidris alpina","dunlin"
"227","Purple Sandpiper","pursan","Calidris maritima","pursan"
"228","Baird's Sandpiper","baisan","Calidris bairdii","baisan"
"229","Little Stint","litsti","Calidris minuta","litsti"
"230","White-rumped Sandpiper","whrsan","Calidris fuscicollis","whrsan"
"231","Least Sandpiper","leasan","Calidris minutilla","leasan"
"232","Pectoral Sandpiper","pecsan","Calidris melanotos","pecsan"
"233","Western Sandpiper","wessan","Calidris mauri","wessan"
"234","Semipalmated Sandpiper","semsan","Calidris pusilla","semsan"
"235","Oriental Pratincole","oripra","Glareola maldivarum","oripra"
"236","Long-tailed Jaeger","lotjae","Stercorarius longicaudus","lotjae"
"237","Parasitic Jaeger","parjae","Stercorarius parasiticus","parjae"
"238","Pomarine Jaeger","pomjae","Stercorarius pomarinus","pomjae"
"239","Little Gull","litgul","Hydrocoloeus minutus","litgul"
"240","Ross's Gull","rosgul","Rhodostethia rosea","rosgul"
"241","Ivory Gull","ivogul","Pagophila eburnea","ivogul"
"242","Sabine's Gull","sabgul","Xema sabini","sabgul"
"243","Bonaparte's Gull","bongul","Chroicocephalus philadelphia","bongul"
