"","common_name","common_code","sci_name","sci_code"
"145","Pallid Swift",NA,"Apus pallidus",NA
"146","Pacific Swift",NA,"Apus pacificus",NA
"147","Little Swift",NA,"Apus affinis",NA
"148","White-rumped Swift",NA,"Apus caffer",NA
"149","Water Rail",NA,"Rallus aquaticus",NA
"150","Corn Crake",NA,"Crex crex",NA
"151","Giant Wood-Rail",NA,"Aramides ypecaha",NA
"152","Sora","sora","Porzana carolina","sora"
"153","Spotted Crake",NA,"Porzana porzana",NA
"154","Eurasian Moorhen",NA,"Gallinula chloropus",NA
"155","Eurasian Coot",NA,"Fulica atra",NA
"156","Red-knobbed Coot",NA,"Fulica cristata",NA
"157","American Coot","y00475","Fulica americana","y00475"
"158","Purple Gallinule","purgal2","Porphyrio martinica","purgal2"
"159","Gray-headed Swamphen","purswa3","Porphyrio poliocephalus","purswa3"
"160","Little Crake",NA,"Zapornia parva",NA
"161","Gray Crowned-Crane",NA,"Balearica regulorum",NA
"162","Sandhill Crane","sancra","Antigone canadensis","sancra"
"163","Common Crane",NA,"Grus grus",NA
"164","Black-winged Stilt",NA,"Himantopus himantopus",NA
"165","Black-necked Stilt","bknsti","Himantopus mexicanus","bknsti"
"166","Eurasian Oystercatcher","euroys1","Haematopus ostralegus","euroys1"
"167","Black-bellied Plover","bkbplo","Pluvialis squatarola","bkbplo"
"168","European Golden-Plover","eugplo","Pluvialis apricaria","eugplo"
"169","American Golden-Plover","amgplo","Pluvialis dominica","amgplo"
"170","Pacific Golden-Plover",NA,"Pluvialis fulva",NA
"171","Eurasian Dotterel",NA,"Eudromias morinellus",NA
"172","Killdeer","killde","Charadrius vociferus","killde"
"173","Common Ringed Plover",NA,"Charadrius hiaticula",NA
"174","Semipalmated Plover","semplo","Charadrius semipalmatus","semplo"
"175","Little Ringed Plover","lirplo","Charadrius dubius","lirplo"
"176","Northern Lapwing","norlap","Vanellus vanellus","norlap"
"177","Blacksmith Lapwing","blaplo1","Vanellus armatus","blaplo1"
"178","Spur-winged Lapwing",NA,"Vanellus spinosus",NA
"179","Red-wattled Lapwing","rewlap1","Vanellus indicus","rewlap1"
"180","Masked Lapwing","maslap1","Vanellus miles","maslap1"
"181","Greater Sand-Plover",NA,"Anarhynchus leschenaultii",NA
"182","Kentish Plover",NA,"Anarhynchus alexandrinus",NA
"183","Wattled Jacana","watjac1","Jacana jacana","watjac1"
"184","Upland Sandpiper","uplsan","Bartramia longicauda","uplsan"
"185","Whimbrel","whimbr","Numenius phaeopus","whimbr"
"186","Little Curlew",NA,"Numenius minutus",NA
"187","Eurasian Curlew",NA,"Numenius arquata",NA
"188","Bar-tailed Godwit","batgod","Limosa lapponica","batgod"
"189","Black-tailed Godwit",NA,"Limosa limosa",NA
"190","Hudsonian Godwit","hudgod","Limosa haemastica","hudgod"
"191","Short-billed Dowitcher","shbdow","Limnodromus griseus","shbdow"
"192","Long-billed Dowitcher","lobdow","Limnodromus scolopaceus","lobdow"
"193","Jack Snipe",NA,"Lymnocryptes minimus",NA
"194","Eurasian Woodcock",NA,"Scolopax rusticola",NA
"195","Common Snipe",NA,"Gallinago gallinago",NA
"196","Wilson's Snipe","wilsni1","Gallinago delicata","wilsni1"
"197","Wilson's Phalarope","wilpha","Phalaropus tricolor","wilpha"
"198","Red-necked Phalarope",NA,"Phalaropus lobatus",NA
"199","Terek Sandpiper",NA,"Xenus cinereus",NA
"200","Common Sandpiper","comsan","Actitis hypoleucos","comsan"
"201","Spotted Sandpiper","sposan","Actitis macularius","sposan"
"202","Green Sandpiper",NA,"Tringa ochropus",NA
"203","Solitary Sandpiper","solsan","Tringa solitaria","solsan"
"204","Gray-tailed Tattler",NA,"Tringa brevipes",NA
"205","Marsh Sandpiper",NA,"Tringa stagnatilis",NA
"206","Wood Sandpiper",NA,"Tringa glareola",NA
"207","Common Redshank","comred1","Tringa totanus","comred1"
"208","Lesser Yellowlegs","lesyel","Tringa flavipes","lesyel"
"209","Willet","willet1","Tringa semipalmata","willet1"
"210","Spotted Redshank",NA,"Tringa erythropus",NA
"211","Common Greenshank",NA,"Tringa nebularia",NA
"212","Greater Yellowlegs","greyel","Tringa melanoleuca","greyel"
"213","Ruddy Turnstone","rudtur","Arenaria interpres","rudtur"
