"","Var1","Freq"
"165","Oyster Catcher",1
"166","Pallas's Gull (Ichthyaetus Ichthyaetus)",1
"167","Parrot",1
"168","Passeridae (Unidentified):Passeridae (Incognita)(Passeridae)",5
"169","Peacock",2
"170","Pelecanidae (Unidentified):Pelecanidae (Incognita)(Pelecanidae)",10
"171","Peregrin Falcon:falco Peregrinus(Falconidae)",41
"172","Peregrine Falcon",23
"173","Phasianidae (Phasianidae)",10
"174","Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae)",57
"175","Phasianus Colchicus (Common Pheasant) - Phasanidae",14
"176","Pheasant",4
"177","Pigeon",3
"178","Pink-Footed Goose (Anser Brachyrhynchus)",3
"179","Pochard",3
"180","Quail",3
"181","Razorbill (Alca Torda):Alcidae-Charadriiformes",2
"182","Red-And-Green Macaw (Ara Chloropterus)",1
"183","Red-Billed Gull (Larus Scopulinus):Laridae-Charadriiformes",1
"184","Red Fox",2
"185","Red Knot",2
"186","Rock Dove",7
"187","Rock Dove (Columba Livia)",2
"188","Rook",10
"189","Rose Pelican (Pelecanus Onocrotalus)",1
"190","Sanderling ",3
"191","Sandwich Tern",24
"192","Scolopacidae (Unidentified):Scolopacidae (Incognita)(Scolopacidae)",3
"193","Semipalmated Sandpiper",3
"194","Silver Teal (Anas Versicolor)",1
"195","Spotted Dove",1
"196","Starling",2
"197","Stone Marten",1
"198","Stork",38
"199","Strigidae (Unidentified):Strigidae (Incognita)(Strigidae)",15
"200","Sulids (Sulidae)",18
"201","Swallow",1
"202","Swan",524
"203","Tawny Owl (Strix Aluco)",2
"204","Teal",19
"205","Tern",2
"206","Threskiornithidae (Unidentified):Threskiornithidae (Incognita)(Threskiornithidae)",2
"207","Thrush (Turdidae)",2
"208","Tufted Duck",83
"209","Tundra Swan",2
"210","Umbrella Cockatoo",1
"211","Unspecified Bird",542
"212","Unspecified Mammal",1
"213","Variable Hawk (Geranoaetus Polyosoma) ",1
"214","Vulture",2
"215","Wader",1
"216","Water Hen",1
"217","Western Grebe (Aechmophorus Occidentalis):Podicipedidae-Procellariiformes",1
"218","White Stork",1
"219","White Stork:ciconia Ciconia(Ciconiidae)",2
"220","White Tailed Eagle (Haliaeetus Albicilla)",96
"221","Whooper Swan",65
"222","Whooper Swan:cygnus Cygnus(Anatidae)",88
"223","Wigeons:mareca Penelope(Anatidae)",1
"224","Wild Duck",64
"225","Yellow-Legged Gull ",10
