"observation.date","Species","Country","Serotype","source","flu","geometry","X","Y","serotype_HN"
2021-02-12,"Cygnus olor","Latvia","H5N8","woah",1,"c(5140332.37187156, 3841751.40078533)",5140332.37187156,3841751.40078533,"H5N8"
2021-01-31,"Phasianidae (incognita)","Netherlands","H5N1","woah",1,"c(3968406.76888725, 3271538.66671363)",3968406.76888725,3271538.66671363,"H5N1"
2021-02-02,"Bucephala clangula","Sweden","H5N5","woah",1,"c(4716466.74690652, 3869060.54736325)",4716466.74690652,3869060.54736325,"H5N5"
2021-02-04,"Buteo buteo","Switzerland","H5N4","woah",1,"c(4234103.33222258, 2729155.03293067)",4234103.33222258,2729155.03293067,"H5N4"
2020-10-30,"Bubo bubo","Sweden","H5N8","woah",1,"c(4495626.49922661, 3666953.79718973)",4495626.49922661,3666953.79718973,"H5N8"
2021-02-04,"Accipitridae (incognita)","Germany","H5N5","woah",1,"c(4243926.25346327, 2731070.01868017)",4243926.25346327,2731070.01868017,"H5N5"
2021-01-28,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4263812.26645062, 3422344.51094284)",4263812.26645062,3422344.51094284,"H5N8"
2021-01-29,"Laridae (incognita)","Germany","H5N8","woah",1,"c(4196939.38878407, 3379627.65814656)",4196939.38878407,3379627.65814656,"H5N8"
2021-02-05,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4220686.34710538, 3547129.22249907)",4220686.34710538,3547129.22249907,"H5N8"
2021-02-03,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4283243.49651083, 3410165.14921039)",4283243.49651083,3410165.14921039,"H5N8"
2021-02-09,"Anserinae (unidentified)","Germany","H5N8","woah",1,"c(4305824.37882333, 3519889.07319942)",4305824.37882333,3519889.07319942,"H5N8"
2021-02-11,"Laridae (incognita)","Germany","H5N8","woah",1,"c(4538870.32802158, 3457580.73013002)",4538870.32802158,3457580.73013002,"H5N8"
2021-02-28,"Cygnus olor","Ukraine","H5","woah",1,"c(6030472.58475635, 2879505.43064791)",6030472.58475635,2879505.43064791,"H5"
2021-02-16,"Anser fabalis","Sweden","H5N8","woah",1,"c(4564725.5471847, 3598202.57049764)",4564725.5471847,3598202.57049764,"H5N8"
2021-02-18,"Bubo bubo","Sweden","H5N8","woah",1,"c(4545323.27433257, 3925878.30985413)",4545323.27433257,3925878.30985413,"H5N8"
2021-02-12,"Buteo buteo","Sweden","H5N8","woah",1,"c(4522221.24072512, 3612837.22762347)",4522221.24072512,3612837.22762347,"H5N8"
2021-02-20,"Bubo bubo","Sweden","H5N8","woah",1,"c(4621843.30282723, 3680824.52860787)",4621843.30282723,3680824.52860787,"H5N8"
2021-02-21,"Accipiter gentilis","Sweden","H5N8","woah",1,"c(4696196.2432094, 3736742.5197727)",4696196.2432094,3736742.5197727,"H5N8"
2021-02-21,"Accipiter gentilis","Sweden","H5N8","woah",1,"c(4615955.93071399, 3684893.01318764)",4615955.93071399,3684893.01318764,"H5N8"
2021-02-20,"Buteo buteo","Sweden","H5N8","woah",1,"c(4592394.87084566, 3683395.24283545)",4592394.87084566,3683395.24283545,"H5N8"
2021-02-16,"Chroicocephalus ridibundus","Sweden","H5N8","woah",1,"c(4509566.82132914, 3613407.67238536)",4509566.82132914,3613407.67238536,"H5N8"
2021-02-24,"Accipiter gentilis","Sweden","H5N5","woah",1,"c(4507269.43388766, 3637816.45507694)",4507269.43388766,3637816.45507694,"H5N5"
2021-03-03,"Branta canadensis","Norway","H5N8","woah",1,"c(4387192.47498729, 4024901.79709138)",4387192.47498729,4024901.79709138,"H5N8"
2021-02-25,"Passer domesticus","France","H5N8","woah",1,"c(3917254.15139915, 2963444.11830978)",3917254.15139915,2963444.11830978,"H5N8"
2021-02-26,"Cygnus olor","Latvia","H5N8","woah",1,"c(5107495.9589296, 3876022.60454946)",5107495.9589296,3876022.60454946,"H5N8"
2021-02-26,"Cygnus olor","Latvia","H5N8","woah",1,"c(4997486.68912877, 3764806.61672751)",4997486.68912877,3764806.61672751,"H5N8"
2021-02-19,"Ciconiidae (incognita)","Latvia","H5N8","woah",1,"c(4995444.57624174, 3789172.12024303)",4995444.57624174,3789172.12024303,"H5N8"
2021-02-24,"Cygnus olor","Latvia","H5N8","woah",1,"c(5149629.09303552, 3842149.64919218)",5149629.09303552,3842149.64919218,"H5N8"
2021-02-24,"Cygnus olor","Latvia","H5N8","woah",1,"c(5167766.49498559, 3854055.93019988)",5167766.49498559,3854055.93019988,"H5N8"
2021-02-24,"Cygnus olor","Latvia","H5N8","woah",1,"c(4997497.08184497, 3764819.51214458)",4997497.08184497,3764819.51214458,"H5N8"
2021-03-10,"Cygnus olor","Latvia","H5N8","woah",1,"c(5156902.42597841, 3845628.96907756)",5156902.42597841,3845628.96907756,"H5N8"
2021-03-04,"Cygnus olor","Latvia","H5N8","woah",1,"c(5142777.07093782, 3841652.32057443)",5142777.07093782,3841652.32057443,"H5N8"
2021-02-19,"Cygnus olor","Latvia","H5N8","woah",1,"c(5137167.33789984, 3844868.44023348)",5137167.33789984,3844868.44023348,"H5N8"
2021-02-26,"Cygnus olor","Latvia","H5N8","woah",1,"c(5182313.04144863, 3838786.1168781)",5182313.04144863,3838786.1168781,"H5N8"
2021-02-19,"Branta canadensis","Latvia","H5N8","woah",1,"c(5014573.23510109, 3865853.17330254)",5014573.23510109,3865853.17330254,"H5N8"
2021-03-11,"Cygnus olor","Latvia","H5N8","woah",1,"c(5161277.74977586, 3848742.74811954)",5161277.74977586,3848742.74811954,"H5N8"
2021-02-26,"Cygnus olor","Latvia","H5N8","woah",1,"c(5157622.56073169, 3846077.50699338)",5157622.56073169,3846077.50699338,"H5N8"
2021-03-04,"Mergus merganser","Latvia","H5N8","woah",1,"c(5014824.02877621, 3866070.46204912)",5014824.02877621,3866070.46204912,"H5N8"
2021-02-24,"Anas platyrhynchos","Latvia","H5N8","woah",1,"c(5083430.48670781, 3796264.91638614)",5083430.48670781,3796264.91638614,"H5N8"
2021-03-07,"Cygnus olor","Sweden","H5N5","woah",1,"c(4754150.56383167, 3996234.02771304)",4754150.56383167,3996234.02771304,"H5N5"
2021-02-26,"Cygnus olor","Sweden","H5N5","woah",1,"c(4717773.74660069, 3784772.55027281)",4717773.74660069,3784772.55027281,"H5N5"
2021-02-26,"Buteo buteo","Sweden","H5N5","woah",1,"c(4533627.67153823, 3598873.4243796)",4533627.67153823,3598873.4243796,"H5N5"
2021-03-09,"Cygnus olor","Sweden","H5N5","woah",1,"c(4762394.47153124, 4016783.22828651)",4762394.47153124,4016783.22828651,"H5N5"
2021-03-09,"Accipiter gentilis","Sweden","H5N8","woah",1,"c(4575159.93002215, 3861858.5487051)",4575159.93002215,3861858.5487051,"H5N8"
2021-03-07,"Cygnus (incognita)","Sweden","H5N8","woah",1,"c(4420563.07127763, 3849308.12008511)",4420563.07127763,3849308.12008511,"H5N8"
2021-01-31,"Bubo bubo","Sweden","H5N8","woah",1,"c(4796021.22609882, 4045398.78867875)",4796021.22609882,4045398.78867875,"H5N8"
2021-02-19,"Falco peregrinus","Sweden","H5N8","woah",1,"c(4457427.89878174, 3775837.60266863)",4457427.89878174,3775837.60266863,"H5N8"
2021-02-25,"Falco tinnunculus","Sweden","H5N8","woah",1,"c(4533936.95848181, 3598899.01569222)",4533936.95848181,3598899.01569222,"H5N8"
2021-02-19,"Branta canadensis","Sweden","H5N8","woah",1,"c(4585528.72951455, 3609620.70539006)",4585528.72951455,3609620.70539006,"H5N8"
2021-02-28,"Branta canadensis","Sweden","H5N8","woah",1,"c(4575099.10306296, 3628533.44238273)",4575099.10306296,3628533.44238273,"H5N8"
2021-02-16,"Cygnus cygnus","Norway","H5N8","woah",1,"c(4063537.5735118, 4143946.03893737)",4063537.5735118,4143946.03893737,"H5N8"
