"","observation.date","Species","Country","Serotype","source","flu","geometry","X","Y"
"70",2023-07-06,"Unspecified Mammal","Finland","H5N1 HPAI","fao",1,c(5000226.37591045, 4560563.09846688),5000226.37591045,4560563.09846688
"71",2023-07-06,"Polar Fox","Finland","H5N1 HPAI","fao",1,c(5000226.37591045, 4560563.09846688),5000226.37591045,4560563.09846688
"72",2023-07-06,"Black Headed Gull (Chroicocephalus Ridibundus)","Poland","H5N1 HPAI","fao",1,c(4834983.32280216, 3296254.73837405),4834983.32280216,3296254.73837405
"73",2023-07-06,"Mink","Finland","H5N1 HPAI","fao",1,c(4982739.92914216, 4509911.19383756),4982739.92914216,4509911.19383756
"74",2023-07-06,"Fox","Finland","H5N1 HPAI","fao",1,c(4982739.92914216, 4509911.19383756),4982739.92914216,4509911.19383756
"75",2023-07-06,"Common Tern (Sterna Hirundo)","Italy","H5N1 HPAI","fao",1,c(4450308.69024259, 2416251.04415413),4450308.69024259,2416251.04415413
"76",2023-07-05,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Russian Federation","H5N1 HPAI","fao",1,c(5213105.71904296, 5278526.85887733),5213105.71904296,5278526.85887733
"77",2023-07-05,"Black Headed Gull (Chroicocephalus Ridibundus)","Switzerland","H5N1 HPAI","fao",1,c(4094873.82600953, 2649690.39194918),4094873.82600953,2649690.39194918
"78",2023-07-05,"Mew Gull (Larus Canus)","Estonia","H5N1 HPAI","fao",1,c(5106882.93905387, 4039966.98471487),5106882.93905387,4039966.98471487
"79",2023-07-05,"Herring Gull:larus Argentatus(Laridae)","Norway","H5N1 HPAI","fao",1,c(4523760.33023218, 4907860.48917634),4523760.33023218,4907860.48917634
"80",2023-07-05,"Herring Gull:larus Argentatus(Laridae)","Norway","H5N1 HPAI","fao",1,c(4511218.20559011, 4913256.45186854),4511218.20559011,4913256.45186854
"81",2023-07-05,"Herring Gull:larus Argentatus(Laridae)","Norway","H5 HPAI","fao",1,c(4511218.20559011, 4913256.45186854),4511218.20559011,4913256.45186854
"82",2023-07-05,"Common Tern (Sterna Hirundo)","Ireland","H5N1 HPAI","fao",1,c(3248562.51008909, 3480949.01820613),3248562.51008909,3480949.01820613
"83",2023-07-05,"Sandwich Tern","France","H5N1 HPAI","fao",1,c(3399502.74590656, 2723545.68364307),3399502.74590656,2723545.68364307
"84",2023-07-04,"Unspecified Bird","Belgium","H5N1 HPAI","fao",1,c(3973246.93472487, 2970364.08166319),3973246.93472487,2970364.08166319
"85",2023-07-04,"Mediterranean Gull ","Belgium","H5N1 HPAI","fao",1,c(3977298.50261476, 3145733.27019188),3977298.50261476,3145733.27019188
"86",2023-07-04,"Black Headed Gull (Chroicocephalus Ridibundus)","Sweden","H5N1 HPAI","fao",1,c(4733047.72995342, 4092187.64484275),4733047.72995342,4092187.64484275
"87",2023-07-04,"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes","Norway","H5N1 HPAI","fao",1,c(4825263.89550866, 5253089.5133957),4825263.89550866,5253089.5133957
"88",2023-07-04,"Unspecified Bird","Germany","H5N1 HPAI","fao",1,c(4181225.98513643, 3411567.41323067),4181225.98513643,3411567.41323067
"89",2023-07-04,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4181225.98513643, 3411567.41323067),4181225.98513643,3411567.41323067
"90",2023-07-04,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4607907.45480017, 3205967.54971567),4607907.45480017,3205967.54971567
"91",2023-07-04,"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3565557.83730891, 3709082.80254905),3565557.83730891,3709082.80254905
"92",2023-07-04,"Common Tern (Sterna Hirundo)","Ireland","H5N1 HPAI","fao",1,c(3251583.75218357, 3479365.58855596),3251583.75218357,3479365.58855596
